iter	Passed	Remaining
469	740	835
470	745	836
471	746	835
472	748	833
473	749	831
474	750	829
475	751	826
476	752	824
477	753	822
478	754	820
479	755	818
480	756	815
481	758	815
482	761	815
483	763	813
484	764	812
485	766	810
486	767	808
487	768	806
488	769	804
489	770	801
490	771	799
491	777	802
492	778	800
493	779	798
494	780	796
495	781	794
496	782	792
497	784	790
498	785	788
499	786	786
500	787	784
501	792	785
502	793	784
503	795	782
504	796	780
505	797	778
506	798	776
507	799	774
508	801	772
509	802	770
510	803	769
511	806	769
512	808	767
513	810	765
514	811	763
515	812	761
516	813	759
517	814	757
518	815	755
519	816	753
520	817	751
521	818	749
522	821	749
523	823	748
524	825	746
525	826	744
526	827	742
527	828	740
528	829	738
529	830	736
530	831	734
531	832	732
532	837	733
533	839	732
534	840	730
535	841	728
536	843	726
537	844	725
538	846	723
539	847	721
540	848	719
541	849	718
542	854	719
543	857	718
544	859	717
545	860	715
546	862	714
547	864	712
548	865	710
549	866	708
550	867	707
551	869	706
552	871	704
553	872	702
554	874	701
555	876	699
556	878	698
557	879	696
558	880	694
559	883	693
560	885	692
561	886	691
562	888	689
563	889	687
564	890	685
565	891	683
566	892	681
567	893	679
568	895	677
569	896	676
570	897	674
571	900	673
572	902	672
573	903	670
574	904	668
575	905	666
576	906	664
577	907	662
578	909	660
579	910	659
580	911	657
581	912	655
582	914	654
583	916	653
584	918	651
585	919	649
586	920	647
587	921	645
588	922	643
589	923	642
590	925	640
591	926	638
592	931	639
593	933	637
594	934	636
595	935	634
596	936	632
597	937	630
598	938	628
599	939	626
600	940	624
601	941	622
602	943	621
603	945	619
604	946	618
605	947	616
606	948	614
607	949	612
608	950	610
609	951	608
610	952	606
611	953	604
612	954	602
613	955	600
614	956	598
615	957	596
616	958	594
617	962	594
618	964	593
619	965	591
620	967	590
621	968	588
622	969	586
623	970	585
624	971	583
625	972	580
626	973	579
627	974	577
628	975	575
629	977	574
630	978	572
631	979	570
632	980	568
633	981	566
634	982	564
635	983	562
636	983	560
637	984	558
638	985	556
639	986	555
640	987	553
641	988	551
642	989	549
643	991	548
644	993	546
645	994	545
646	995	543
647	996	541
648	997	539
649	998	537
650	1000	536
651	1001	534
652	1001	532
653	1002	530
654	1003	528
655	1004	526
656	1005	525
657	1008	524
658	1010	522
659	1011	520
660	1012	519
661	1013	517
662	1014	515
663	1015	513
664	1015	511
665	1017	510
666	1017	508
667	1019	506
668	1020	504
669	1024	504
670	1025	503
671	1026	501
672	1027	499
673	1028	497
674	1029	495
675	1030	493
676	1031	492
677	1032	490
678	1033	488
679	1034	486
680	1035	484
681	1036	483
682	1039	482
683	1041	481
684	1043	479
685	1044	478
686	1047	477
687	1048	475
688	1049	473
689	1050	472
690	1051	470
691	1054	469
692	1055	467
693	1057	466
694	1058	464
695	1060	463
696	1061	461
697	1062	459
698	1063	457
699	1064	456
700	1065	454
701	1067	453
702	1068	451
703	1069	449
704	1071	448
705	1073	446
706	1074	445
707	1075	443
708	1076	441
709	1077	439
710	1077	438
711	1078	436
712	1079	434
713	1080	432
714	1081	431
715	1082	429
716	1086	429
717	1088	427
718	1089	425
719	1090	424
720	1091	422
721	1092	420
722	1092	418
723	1093	416
724	1094	415
725	1095	413
726	1096	411
727	1097	410
728	1102	409
729	1103	408
730	1104	406
731	1105	404
732	1106	402
733	1107	401
734	1108	399
735	1109	397
736	1109	396
737	1110	394
738	1111	392
739	1112	390
740	1113	389
741	1114	387
742	1116	386
743	1118	384
744	1119	383
745	1120	381
746	1121	379
747	1122	378
748	1123	376
749	1124	374
750	1125	373
751	1126	371
752	1127	369
753	1128	368
754	1128	366
755	1131	365
756	1133	363
757	1134	362
758	1136	360
759	1137	359
760	1139	357
761	1140	356
762	1142	354
763	1142	353
764	1143	351
765	1144	349
766	1146	348
767	1147	346
768	1148	345
769	1149	343
770	1150	341
771	1151	340
772	1152	338
773	1153	336
774	1154	335
775	1155	333
776	1156	331
777	1157	330
778	1158	328
779	1159	326
780	1159	325
781	1160	323
782	1161	321
783	1163	320
784	1164	319
785	1165	317
786	1166	315
787	1167	314
788	1168	312
789	1169	310
790	1170	309
791	1171	307
792	1172	305
793	1172	304
794	1173	302
795	1175	301
796	1176	299
797	1177	298
798	1179	296
799	1180	295
800	1181	293
801	1182	291
802	1183	290
803	1184	288
804	1185	287
805	1186	285
806	1187	283
807	1188	282
808	1189	280
809	1189	279
810	1190	277
811	1191	275
812	1193	274
813	1195	273
814	1197	271
815	1198	270
816	1200	268
817	1201	267
818	1202	265
819	1203	264
820	1204	262
821	1205	260
822	1205	259
823	1206	257
824	1207	256
825	1209	254
826	1210	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1215	245
832	1216	243
833	1217	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1222	232
840	1225	231
841	1227	230
842	1229	228
843	1230	227
844	1232	226
845	1233	224
846	1236	223
847	1239	222
848	1241	220
849	1242	219
850	1244	217
851	1245	216
852	1247	214
853	1248	213
854	1249	211
855	1250	210
856	1251	208
857	1252	207
858	1253	205
859	1254	204
860	1255	202
861	1257	201
862	1258	199
863	1259	198
864	1260	196
865	1261	195
866	1262	193
867	1263	192
868	1264	190
869	1265	189
870	1266	187
871	1267	185
872	1268	184
873	1269	182
874	1271	181
875	1273	180
876	1274	178
877	1275	177
878	1276	175
879	1277	174
880	1278	172
881	1279	171
882	1280	169
883	1281	168
884	1282	166
885	1283	165
886	1284	163
887	1288	162
888	1290	161
889	1290	159
890	1292	158
891	1293	156
892	1294	155
893	1295	153
894	1296	152
895	1297	150
896	1297	149
897	1299	147
898	1301	146
899	1304	144
900	1306	143
901	1307	142
902	1309	140
903	1310	139
904	1311	137
905	1313	136
906	1314	134
907	1315	133
908	1316	131
909	1322	130
910	1324	129
911	1326	127
912	1327	126
913	1328	124
914	1329	123
915	1330	121
916	1331	120
917	1333	119
918	1335	117
919	1336	116
920	1337	114
921	1338	113
922	1340	111
923	1341	110
924	1342	108
925	1343	107
926	1344	105
927	1345	104
928	1347	102
929	1352	101
930	1353	100
931	1355	98
932	1356	97
933	1357	95
934	1358	94
935	1359	92
936	1360	91
937	1361	90
938	1362	88
939	1363	87
940	1366	85
941	1368	84
942	1369	82
943	1370	81
944	1371	79
945	1372	78
946	1373	76
947	1374	75
948	1375	73
949	1377	72
950	1378	71
951	1382	69
952	1384	68
953	1385	66
954	1386	65
955	1387	63
956	1389	62
957	1390	60
958	1391	59
959	1392	58
960	1393	56
961	1394	55
962	1397	53
963	1399	52
964	1401	50
965	1402	49
966	1403	47
967	1404	46
968	1405	44
969	1406	43
970	1407	42
971	1408	40
972	1409	39
973	1413	37
974	1415	36
975	1417	34
976	1418	33
977	1420	31
978	1422	30
979	1424	29
980	1426	27
981	1428	26
982	1430	24
983	1432	23
984	1434	21
985	1435	20
986	1436	18
987	1437	17
988	1438	16
989	1440	14
990	1441	13
991	1445	11
992	1446	10
993	1448	8
994	1450	7
995	1451	5
996	1452	4
997	1453	2
998	1454	1
999	1456	0
